Date,grossNewSales
2023-02-02,0
2023-02-02,5555
2023-02-02,388187
2023-02-02,0
2023-02-02,40000
2023-02-02,0
2023-02-02,0
2023-02-02,277240
2023-02-09,2139
2023-02-09,290752
2023-02-09,3329
2023-02-09,4114
2023-02-09,42471
2023-02-09,8100
2023-02-09,3905
2023-02-09,0
2023-02-09,0
2023-02-09,429
2023-02-09,0
2023-02-09,21000
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,116880
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,636
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,3517
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,0
2023-02-09,500
2023-02-09,0
2023-02-09,0
2023-02-09,126000
2023-02-09,55000
2023-02-09,47000
2023-02-09,3500
2023-02-09,10122
2023-02-09,0
2023-02-09,0
2023-02-09,21499
2023-02-09,0
2023-02-09,0
2023-02-09,1533
2023-02-09,0
2023-02-09,332268
2023-02-16,1060
2023-02-16,291988
2023-02-16,15752
2023-02-16,554
2023-02-16,45185
2023-02-16,0
2023-02-16,10510
2023-02-16,1750
2023-02-16,0
2023-02-16,399
2023-02-16,0
2023-02-16,44800
2023-02-16,0
2023-02-16,0
2023-02-16,5200
2023-02-16,0
2023-02-16,81570
2023-02-16,50000
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,0
2023-02-16,1764
2023-02-16,59
2023-02-16,0
2023-02-16,0
2023-02-16,7496
2023-02-16,271000
2023-02-16,0
2023-02-16,252
2023-02-16,0
2023-02-16,0
2023-02-16,26
2023-02-16,0
2023-02-16,136300
2023-02-23,14034
2023-02-23,213611
2023-02-23,5588
2023-02-23,5969
2023-02-23,6976
2023-02-23,3365
2023-02-23,1332
2023-02-23,24500
2023-02-23,0
2023-02-23,10139
2023-02-23,0
2023-02-23,2000
2023-02-23,109
2023-02-23,550
2023-02-23,3510
2023-02-23,0
2023-02-23,48014
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,99
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,76000
2023-02-23,160
2023-02-23,0
2023-02-23,2625
2023-02-23,62000
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-02-23,215000
2023-03-02,28079
2023-03-02,183280
2023-03-02,12169
2023-03-02,16239
2023-03-02,1500
2023-03-02,0
2023-03-02,12996
2023-03-02,8
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,25802
2023-03-02,10000
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,136154
2023-03-02,15000
2023-03-02,0
2023-03-02,0
2023-03-02,50000
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
2023-03-02,0
